metric,pair_class,delta_after_day4
tsmi,intra_H,5.867714053826955e-06
tsmi,intra_S,1.718466373257477e-05
tsmi,inter,1.2261943427105518e-05
te,intra_H,0.0023213642555851193
te,intra_S,-0.00027390577202772177
te,inter,0.0010879561904407926
gc,intra_H,0.00035261535983083236
gc,intra_S,-0.010099297327918616
gc,inter,0.006293226468351065
tsmi_krl,intra_H,0.004765435035573132
tsmi_krl,intra_S,0.0005895859120517149
tsmi_krl,inter,0.0004997830029577592
te_krl,intra_H,0.006949773270892912
te_krl,intra_S,0.0002797008304524619
te_krl,inter,0.0015833357912111165
gc_krl,intra_H,0.006714290943846096
gc_krl,intra_S,-0.009792139470991557
gc_krl,inter,0.007404004295959249
