pair_class,tsmi,te,gc,tsmi_krl,te_krl,gc_krl,day_file
intra_H,1.0000889005818275e-12,0.0034442141120018866,0.30038588691276297,0.0026816104571839522,0.005549072020820794,0.2849189763656427,27_03_2011_C2
intra_S,1.0000889005818224e-12,0.006414161135806118,0.16907605202555462,0.0020855354168693575,0.007863278648325315,0.160409247515044,27_03_2011_C2
inter,4.0963652033786075e-05,0.00497646922768001,0.25526822746988864,0.0010416969456581613,0.005740765886535836,0.2503289284808986,27_03_2011_C2
intra_H,5.622306041596434e-05,0.003858355854215049,0.3267124734674974,0.008582179657351741,0.01162934066376145,0.3117409881977809,27_03_2011_C2
intra_S,0.00011090158519350582,0.007177379990373989,0.21809648034172707,0.00519023299219879,0.011586035833707615,0.2131997996591167,27_03_2011_C2
inter,0.00011677490156028181,0.004864055993295698,0.24392668524455605,0.003884836024373913,0.008369678353315639,0.23876611718837415,27_03_2011_C2
intra_H,0.0004804317583578377,0.003954663932753736,0.23039804478345108,0.02030111469444799,0.022973560530470526,0.2196941281003412,27_03_2011_C2
intra_S,0.00010360069576093543,0.006113282074512216,0.28788632776517004,0.0029616019124578006,0.008429990964764758,0.2837692244486262,27_03_2011_C2
inter,0.00021245723914678702,0.004219789403993608,0.25462386877740106,0.006063154858543518,0.009795293463547749,0.25234681137999143,27_03_2011_C2
intra_H,0.00023125964111379816,0.003168250875415605,0.19734092004938505,0.023625699185832724,0.025664753756377705,0.1878408769852102,27_03_2011_C2
intra_S,3.855101215467152e-05,0.006125155682539229,0.17165575936587962,0.0004002881956192476,0.006245608999453018,0.1675459750563399,27_03_2011_C2
inter,7.793910185358567e-05,0.004751098515008001,0.23101781688425657,0.005467425893433605,0.009797666671931026,0.2294531159958449,27_03_2011_C2
intra_H,0.00014926941396532932,0.004273612167745489,0.27715853628250803,0.007176695404720781,0.010112951277202539,0.2528428686474145,27_03_2011_C2
intra_S,1.0000889005818418e-12,0.006082138057656605,0.28149636874273265,0.00033280959612324207,0.006066614210971799,0.2766965836429054,27_03_2011_C2
inter,9.96209780771905e-05,0.005367483150763186,0.30343765754538116,0.00219987517154862,0.007065982520473514,0.29553930691210367,27_03_2011_C2
intra_H,1.2850338051615874e-05,0.0042066535314819005,0.3663864696872302,0.004526454251563322,0.007492187013223582,0.33669523508899923,27_03_2011_C2
intra_S,7.705916801854554e-05,0.008974945458701412,0.1778379278795461,0.0024879328968217852,0.01044948114324317,0.17185036678727927,27_03_2011_C2
inter,3.854030056502215e-05,0.004987286771087466,0.18553369265713968,0.001631119141935875,0.0061851078796048755,0.1804178206692786,27_03_2011_C2
intra_H,5.140134920619954e-05,0.004121010995984927,0.26641772728410223,0.008326128267672902,0.011227386141282688,0.2450949397385883,27_03_2011_C2
intra_S,5.780509157474031e-05,0.006178284876260232,0.2062703755933463,0.00556328560728567,0.011361365083400398,0.20107666147285985,27_03_2011_C2
inter,6.297510607891815e-05,0.004337917735933905,0.3070951367019161,0.0033580464277743497,0.007308636253766673,0.30178049258211687,27_03_2011_C2
intra_H,1.2850338051615937e-05,0.0030168733179958347,0.24240712251257052,0.009051244375735009,0.011176180880951932,0.219407825083306,27_03_2011_C2
intra_S,5.779973280199602e-05,0.007105623004367423,0.3234075946280059,0.0030474498756684013,0.009651760366953985,0.3143301745271244,27_03_2011_C2
inter,6.107822536645719e-05,0.004294240996227457,0.31689291554835985,0.0030467431781874333,0.006993363585909135,0.31279323797302255,27_03_2011_C2
intra_H,0.00024154675774485873,0.0026806404505678393,0.26104572522471364,0.010679438845560605,0.01244293358964844,0.24311974589727783,27_03_2011_C2
intra_S,1.925943919290484e-05,0.006603158017521727,0.17070661675260984,0.000504046806253341,0.006769493554892663,0.16775651955176213,27_03_2011_C2
inter,4.496367886318994e-05,0.0053877790528779135,0.18420872501179883,0.0027111591734869417,0.007682791046933787,0.17942713870354418,27_03_2011_C2
intra_H,0.00025062100500204454,0.004302030996340774,0.3184534049089355,0.008199666158463506,0.011209494095146617,0.29334568979279363,27_03_2011_C2
intra_S,1.9270147804634448e-05,0.007759262345182927,0.19081130521478312,0.000636202739335171,0.007933113072507462,0.18566507328266088,27_03_2011_C2
inter,6.0215710934650836e-05,0.0055151987822618835,0.15966632680694412,0.0026892397018160033,0.00773263037144915,0.1579662921183062,27_03_2011_C2
intra_H,2.568282046899674e-05,0.00489614659147651,0.20391304212500744,0.007887483750589352,0.011613012547153101,0.19513160211303707,27_03_2011_C2
intra_S,3.855101215467135e-05,0.0065718442206817215,0.2501858314702686,0.0010177908736368562,0.007110087839118147,0.2452944627668805,27_03_2011_C2
inter,4.4963680848197234e-05,0.0057207992229390695,0.3195203027337337,0.0016546806583264118,0.007007773222725084,0.3139968045549148,27_03_2011_C2
