day,pair_class,gc
1,inter,0.2375330751043647
1,intra_H,0.2578350365674169
1,intra_S,0.2562444456193664
2,inter,0.25101739594376143
2,intra_H,0.27187448665801495
2,intra_S,0.22249369452542034
3,inter,0.22692713944956894
3,intra_H,0.24464491779329717
3,intra_S,0.26332723869122215
4,inter,0.25632411537895805
4,intra_H,0.2666092569743801
4,intra_S,0.21986255819055375
5,inter,0.24521210644266864
5,intra_H,0.2779095299068446
5,intra_S,0.2487839278248612
6,inter,0.23282106808112146
6,intra_H,0.2308935002169969
6,intra_S,0.2431210008368381
