day,pair_class,gc_krl
1,inter,0.23506865785931846
1,intra_H,0.23874125596123683
1,intra_S,0.2537135872799415
2,inter,0.24661964241439963
2,intra_H,0.2536211705463992
2,intra_S,0.21705400806459993
3,inter,0.22464882547164694
3,intra_H,0.23269501160513775
3,intra_S,0.258226791349856
4,inter,0.25437947019486085
4,intra_H,0.2550548240252829
4,intra_S,0.21479699102261793
5,inter,0.2427363983829012
5,intra_H,0.26727473832834964
5,intra_S,0.2440384330956899
6,inter,0.2314332700554808
6,intra_H,0.22287074859067948
6,intra_S,0.24078254416311484
