day,pair_class,tsmi
1,inter,2.1682124158511892e-05
1,intra_H,1.7802634568267334e-05
1,intra_S,1.0508556796891747e-05
2,inter,7.822659775709696e-05
2,intra_H,0.00013746695303439545
2,intra_S,4.75270806051621e-05
3,inter,1.2118717006001645e-05
3,intra_H,1.533461611432346e-05
3,intra_S,3.5022036549397217e-06
4,inter,3.942354498281654e-05
4,intra_H,5.1249014565178053e-05
4,intra_S,4.204347537680569e-05
5,inter,5.11845562726654e-05
5,intra_H,4.864500073446787e-05
5,intra_S,3.776793669937814e-05
6,inter,5.82051679474451e-05
6,intra_H,8.831333057882119e-05
6,intra_S,3.3280420178534056e-05
