win_end,delta_0to1_minus_1to0
600,-0.00018763746650152235
1200,0.014748123363770821
1800,0.007313349997605412
2400,0.0011805534481442725
3000,6.271246438815936e-10
3600,-0.1673346336191782
4200,0.000778120778511554
4800,-7.169785613994486
5400,-1.4932499681208355e-14
6000,0.0006347058171112252
6600,1.8818322575164803e-05
7200,-0.017551464541356587
7800,0.2731191539649692
8400,-2.300240027543615
9000,-7.336104945184432
9600,-0.08676544355114207
10200,1.9352044053164152e-05
10800,6.858103867274368e-05
11400,-1.308653370400703e-05
12000,0.27433088002302586
12600,-0.31554972225927047
13200,8.294667173502912e-06
13800,-0.06532926196741062
14400,-1.0638457804422614
15000,0.1594237490400008
15600,-0.00023959760549330245
16200,0.004558392664240657
16800,-0.28544095434618216
17400,-0.04363522474790453
18000,-5.3458500153480415e-05
18600,0.20329798158939033
19200,0.3864368657893099
19800,-2.8374159619581243
20400,-0.006452135719892782
21000,-0.00044632365369506877
21600,-0.00020384820617704025
22200,0.01792641417371446
22800,1.0176525733207598e-08
23400,-5.753766861515963e-06
24000,-0.2781144026087494
24600,0.00022489076151654963
25200,6.324229934105696e-05
25800,0.06973064595689134
26400,-0.06973064597148407
27000,-0.004566078248632893
27600,1.2166406901839566e-05
28200,-1.445383175979753e-06
28800,-0.0028473854332007054
29400,-6.917862407862518e-06
30000,-1.0735256499028178e-06
30600,-0.003970079676145766
31200,-0.0001549078926650349
31800,-0.27302931581178935
32400,0.06973118505854159
33000,-7.482623687327106e-10
33600,-0.07227210579761317
34200,-0.34718242154807655
34800,-0.2730303004628312
35400,0.00015233784095158853
36000,9.151349122937802e-10
36600,-3.624011292813201e-05
37200,-0.007327162698245848
37800,-0.5503622397492631
38400,-0.20489403504097875
39000,2.7899958752575227e-05
39600,0.20329789350471758
40200,-0.07618061738377195
40800,-0.2782366449257234
41400,0.0
42000,-2.235134826666929e-07
42600,-7.306204941597809
43200,-0.5555956338693053
43800,0.08442812091646673
44400,-0.0004413054886043266
45000,4.618963991090408e-05
45600,-0.019350270345868545
46200,3.2578173935676746e-05
46800,-0.0023226508725368855
47400,-0.27649193322001087
48000,-0.28882204958852187
48600,-0.0024042707270266056
49200,1.0631779296103547
49800,0.0007214929395344405
50400,2.2869118429447983
51000,0.008208497822306482
51600,-0.0003509343572654089
52200,-0.2036230689204599
52800,0.006719794787798716
53400,-0.2730337876738822
54000,-6.666465832139146e-08
54600,0.27302835603446457
55200,0.1896286752964289
55800,0.0007338489487173638
56400,-1.8614577178416303e-06
57000,-0.005366971962710632
57600,-0.09323004962831802
58200,3.897133451011281e-05
58800,0.27721380077754276
59400,-2.518051447908398e-09
60000,0.09151075932221872
60600,-0.2762711078533503
61200,0.00036779118247530496
61800,-0.008383550415254903
62400,1.7599042676286203e-05
63000,0.11750480821048848
63600,-0.5383355075385619
64200,-1.1391829888574012e-05
64800,1.7068430002709079e-12
65400,-0.20329780960849517
66000,-1.0622872513457584
66600,0.27303777918244215
67200,-6.766503889049647e-05
67800,0.2747285238393683
68243,0.02251659312887716
