win_end,leader,label
600,0,TSMI
1200,0,TSMI
1800,0,TSMI
2400,0,TSMI
3000,0,TSMI
3600,1,TSMI
4200,0,TSMI
4800,1,TSMI
5400,0,TSMI
6000,0,TSMI
6600,0,TSMI
7200,0,TSMI
7800,0,TSMI
8400,1,TSMI
9000,1,TSMI
9600,0,TSMI
10200,0,TSMI
10800,0,TSMI
11400,0,TSMI
12000,0,TSMI
12600,1,TSMI
13200,0,TSMI
13800,0,TSMI
14400,1,TSMI
15000,0,TSMI
15600,0,TSMI
16200,0,TSMI
16800,1,TSMI
17400,0,TSMI
18000,0,TSMI
18600,0,TSMI
19200,0,TSMI
19800,1,TSMI
20400,0,TSMI
21000,0,TSMI
21600,0,TSMI
22200,0,TSMI
22800,0,TSMI
23400,0,TSMI
24000,1,TSMI
24600,0,TSMI
25200,0,TSMI
25800,0,TSMI
26400,1,TSMI
27000,0,TSMI
27600,0,TSMI
28200,0,TSMI
28800,0,TSMI
29400,0,TSMI
30000,0,TSMI
30600,0,TSMI
31200,0,TSMI
31800,1,TSMI
32400,0,TSMI
33000,0,TSMI
33600,0,TSMI
34200,1,TSMI
34800,1,TSMI
35400,0,TSMI
36000,0,TSMI
36600,0,TSMI
37200,0,TSMI
37800,1,TSMI
38400,1,TSMI
39000,0,TSMI
39600,0,TSMI
40200,0,TSMI
40800,1,TSMI
41400,0,TSMI
42000,0,TSMI
42600,1,TSMI
43200,1,TSMI
43800,0,TSMI
44400,0,TSMI
45000,0,TSMI
45600,0,TSMI
46200,0,TSMI
46800,0,TSMI
47400,1,TSMI
48000,1,TSMI
48600,0,TSMI
49200,0,TSMI
49800,0,TSMI
50400,0,TSMI
51000,0,TSMI
51600,0,TSMI
52200,1,TSMI
52800,0,TSMI
53400,1,TSMI
54000,0,TSMI
54600,0,TSMI
55200,0,TSMI
55800,0,TSMI
56400,0,TSMI
57000,0,TSMI
57600,0,TSMI
58200,0,TSMI
58800,0,TSMI
59400,0,TSMI
60000,0,TSMI
60600,1,TSMI
61200,0,TSMI
61800,0,TSMI
62400,0,TSMI
63000,0,TSMI
63600,1,TSMI
64200,0,TSMI
64800,0,TSMI
65400,1,TSMI
66000,1,TSMI
66600,0,TSMI
67200,0,TSMI
67800,0,TSMI
68243,0,TSMI
600,0,TE
1200,1,TE
1800,0,TE
2400,0,TE
3000,0,TE
3600,0,TE
4200,1,TE
4800,0,TE
5400,0,TE
6000,0,TE
6600,0,TE
7200,0,TE
7800,0,TE
8400,0,TE
9000,0,TE
9600,1,TE
10200,0,TE
10800,0,TE
11400,0,TE
12000,1,TE
12600,0,TE
13200,0,TE
13800,0,TE
14400,0,TE
15000,1,TE
15600,1,TE
16200,0,TE
16800,1,TE
17400,0,TE
18000,1,TE
18600,0,TE
19200,1,TE
19800,1,TE
20400,0,TE
21000,0,TE
21600,1,TE
22200,1,TE
22800,0,TE
23400,0,TE
24000,0,TE
24600,1,TE
25200,0,TE
25800,0,TE
26400,0,TE
27000,1,TE
27600,0,TE
28200,1,TE
28800,1,TE
29400,1,TE
30000,0,TE
30600,1,TE
31200,0,TE
31800,1,TE
32400,1,TE
33000,1,TE
33600,0,TE
34200,0,TE
34800,0,TE
35400,0,TE
36000,0,TE
36600,1,TE
37200,1,TE
37800,0,TE
38400,1,TE
39000,0,TE
39600,1,TE
40200,0,TE
40800,0,TE
41400,0,TE
42000,1,TE
42600,0,TE
43200,0,TE
43800,1,TE
44400,0,TE
45000,1,TE
45600,1,TE
46200,1,TE
46800,1,TE
47400,0,TE
48000,1,TE
48600,1,TE
49200,0,TE
49800,0,TE
50400,1,TE
51000,0,TE
51600,1,TE
52200,1,TE
52800,1,TE
53400,1,TE
54000,1,TE
54600,0,TE
55200,1,TE
55800,0,TE
56400,1,TE
57000,0,TE
57600,0,TE
58200,0,TE
58800,1,TE
59400,0,TE
60000,1,TE
60600,0,TE
61200,0,TE
61800,0,TE
62400,0,TE
63000,1,TE
63600,0,TE
64200,0,TE
64800,0,TE
65400,0,TE
66000,0,TE
66600,1,TE
67200,1,TE
67800,0,TE
68243,0,TE
600,1,GC
1200,1,GC
1800,0,GC
2400,0,GC
3000,0,GC
3600,0,GC
4200,1,GC
4800,0,GC
5400,0,GC
6000,0,GC
6600,0,GC
7200,0,GC
7800,0,GC
8400,0,GC
9000,1,GC
9600,1,GC
10200,0,GC
10800,0,GC
11400,0,GC
12000,0,GC
12600,0,GC
13200,0,GC
13800,0,GC
14400,0,GC
15000,0,GC
15600,1,GC
16200,1,GC
16800,0,GC
17400,1,GC
18000,0,GC
18600,0,GC
19200,0,GC
19800,0,GC
20400,1,GC
21000,0,GC
21600,1,GC
22200,1,GC
22800,1,GC
23400,1,GC
24000,0,GC
24600,0,GC
25200,1,GC
25800,1,GC
26400,1,GC
27000,1,GC
27600,1,GC
28200,1,GC
28800,0,GC
29400,1,GC
30000,1,GC
30600,0,GC
31200,0,GC
31800,0,GC
32400,1,GC
33000,1,GC
33600,0,GC
34200,1,GC
34800,1,GC
35400,0,GC
36000,0,GC
36600,0,GC
37200,0,GC
37800,1,GC
38400,0,GC
39000,1,GC
39600,0,GC
40200,0,GC
40800,0,GC
41400,0,GC
42000,0,GC
42600,1,GC
43200,1,GC
43800,1,GC
44400,0,GC
45000,1,GC
45600,1,GC
46200,1,GC
46800,1,GC
47400,0,GC
48000,1,GC
48600,1,GC
49200,1,GC
49800,1,GC
50400,0,GC
51000,0,GC
51600,1,GC
52200,0,GC
52800,1,GC
53400,1,GC
54000,1,GC
54600,0,GC
55200,1,GC
55800,0,GC
56400,1,GC
57000,0,GC
57600,1,GC
58200,0,GC
58800,1,GC
59400,0,GC
60000,1,GC
60600,0,GC
61200,0,GC
61800,0,GC
62400,0,GC
63000,1,GC
63600,1,GC
64200,1,GC
64800,0,GC
65400,1,GC
66000,1,GC
66600,0,GC
67200,0,GC
67800,0,GC
68243,0,GC
600,1,KRL-Flow
1200,1,KRL-Flow
1800,0,KRL-Flow
2400,0,KRL-Flow
3000,0,KRL-Flow
3600,0,KRL-Flow
4200,0,KRL-Flow
4800,1,KRL-Flow
5400,0,KRL-Flow
6000,0,KRL-Flow
6600,1,KRL-Flow
7200,0,KRL-Flow
7800,0,KRL-Flow
8400,1,KRL-Flow
9000,1,KRL-Flow
9600,1,KRL-Flow
10200,0,KRL-Flow
10800,0,KRL-Flow
11400,0,KRL-Flow
12000,1,KRL-Flow
12600,0,KRL-Flow
13200,1,KRL-Flow
13800,0,KRL-Flow
14400,1,KRL-Flow
15000,1,KRL-Flow
15600,1,KRL-Flow
16200,0,KRL-Flow
16800,1,KRL-Flow
17400,1,KRL-Flow
18000,1,KRL-Flow
18600,0,KRL-Flow
19200,0,KRL-Flow
19800,1,KRL-Flow
20400,1,KRL-Flow
21000,1,KRL-Flow
21600,1,KRL-Flow
22200,1,KRL-Flow
22800,1,KRL-Flow
23400,1,KRL-Flow
24000,1,KRL-Flow
24600,1,KRL-Flow
25200,1,KRL-Flow
25800,1,KRL-Flow
26400,1,KRL-Flow
27000,1,KRL-Flow
27600,1,KRL-Flow
28200,1,KRL-Flow
28800,1,KRL-Flow
29400,1,KRL-Flow
30000,1,KRL-Flow
30600,1,KRL-Flow
31200,0,KRL-Flow
31800,1,KRL-Flow
32400,1,KRL-Flow
33000,1,KRL-Flow
33600,0,KRL-Flow
34200,1,KRL-Flow
34800,1,KRL-Flow
35400,1,KRL-Flow
36000,0,KRL-Flow
36600,0,KRL-Flow
37200,1,KRL-Flow
37800,1,KRL-Flow
38400,1,KRL-Flow
39000,1,KRL-Flow
39600,1,KRL-Flow
40200,0,KRL-Flow
40800,1,KRL-Flow
41400,0,KRL-Flow
42000,1,KRL-Flow
42600,1,KRL-Flow
43200,1,KRL-Flow
43800,1,KRL-Flow
44400,1,KRL-Flow
45000,1,KRL-Flow
45600,1,KRL-Flow
46200,1,KRL-Flow
46800,1,KRL-Flow
47400,1,KRL-Flow
48000,1,KRL-Flow
48600,1,KRL-Flow
49200,1,KRL-Flow
49800,0,KRL-Flow
50400,0,KRL-Flow
51000,0,KRL-Flow
51600,1,KRL-Flow
52200,1,KRL-Flow
52800,1,KRL-Flow
53400,1,KRL-Flow
54000,1,KRL-Flow
54600,0,KRL-Flow
55200,1,KRL-Flow
55800,0,KRL-Flow
56400,1,KRL-Flow
57000,0,KRL-Flow
57600,1,KRL-Flow
58200,0,KRL-Flow
58800,1,KRL-Flow
59400,0,KRL-Flow
60000,1,KRL-Flow
60600,1,KRL-Flow
61200,1,KRL-Flow
61800,0,KRL-Flow
62400,1,KRL-Flow
63000,1,KRL-Flow
63600,1,KRL-Flow
64200,1,KRL-Flow
64800,0,KRL-Flow
65400,1,KRL-Flow
66000,1,KRL-Flow
66600,1,KRL-Flow
67200,1,KRL-Flow
67800,0,KRL-Flow
68243,0,KRL-Flow
600,1,TSMI+KRL
1200,0,TSMI+KRL
1800,0,TSMI+KRL
2400,0,TSMI+KRL
3000,0,TSMI+KRL
3600,1,TSMI+KRL
4200,0,TSMI+KRL
4800,1,TSMI+KRL
5400,1,TSMI+KRL
6000,0,TSMI+KRL
6600,0,TSMI+KRL
7200,1,TSMI+KRL
7800,0,TSMI+KRL
