method,metric,mean,ci95_lo,ci95_hi
tsmi_only,auroc,0.819398381759012,0.7975026910881176,0.8402336740654206
tsmi_only,aupr,0.05733201638689401,0.04864280118990989,0.06761103214035064
tsmi_only,hits_at_k,2.395,1.3,3.7
tsmi_only,ndcg_at_k,0.0813788501451599,0.038030998953957174,0.13715421686891197
tsmi_only,f1_at_k,0.04825800000000001,0.026000000000000002,0.07200000000000001
te_only,auroc,0.5,0.5,0.5
te_only,aupr,0.016091954022988512,0.01609195402298851,0.01609195402298851
te_only,hits_at_k,0.0,0.0,0.0
te_only,ndcg_at_k,0.0,0.0,0.0
te_only,f1_at_k,0.0,0.0,0.0
gc_only,auroc,0.5869669547730307,0.5584380841121496,0.6162903871829106
gc_only,aupr,0.023431296820482526,0.020319695025865493,0.02672603004919896
gc_only,hits_at_k,1.6156,0.8,2.5
gc_only,ndcg_at_k,0.0471674044366273,0.021710506289281326,0.07385265238549724
gc_only,f1_at_k,0.032366,0.014000000000000002,0.05004999999999973
krlflow_only,auroc,0.8462422817089452,0.8296521361815753,0.8614204731308411
krlflow_only,aupr,0.09075371912080665,0.08049112585405264,0.10167499350197885
krlflow_only,hits_at_k,5.8952,4.8,7.0
krlflow_only,ndcg_at_k,0.22037842761041418,0.16757987258369159,0.2692606966500928
krlflow_only,f1_at_k,0.11772800000000004,0.098,0.13999999999999999
krlflow_spatial,auroc,0.8466921965120159,0.8301433369492658,0.8611434621161547
krlflow_spatial,aupr,0.09071053796520809,0.08005248493708905,0.1015112893681191
krlflow_spatial,hits_at_k,5.888649999999999,4.9,6.9
krlflow_spatial,ndcg_at_k,0.22042288597914197,0.168588013702632,0.26925114454659654
krlflow_spatial,f1_at_k,0.11828800000000005,0.098,0.14
krlflow_knn_align,auroc,0.8465143425400533,0.8302802987316422,0.8611925817757008
krlflow_knn_align,aupr,0.0907950670191781,0.08016230503518573,0.10171681204369071
krlflow_knn_align,hits_at_k,5.8845,4.8,6.9
krlflow_knn_align,ndcg_at_k,0.21963439661099426,0.16552186743692898,0.2699465196405178
krlflow_knn_align,f1_at_k,0.11817500000000004,0.098,0.14
krlflow_dtw,auroc,0.8468024633678237,0.8304256592122831,0.8612824098798398
krlflow_dtw,aupr,0.091031227080664,0.08093966148112933,0.10142054375688996
krlflow_dtw,hits_at_k,5.8988000000000005,4.9,7.0
krlflow_dtw,ndcg_at_k,0.21963644680030994,0.16696545634707316,0.2673328822912367
krlflow_dtw,f1_at_k,0.11820100000000003,0.09600000000000002,0.13999999999999996
tsmi_plus_krl,auroc,0.8356810407209614,0.8179161465287049,0.8552231558744993
tsmi_plus_krl,aupr,0.06826598389017123,0.05826951386288713,0.07963388022206608
tsmi_plus_krl,hits_at_k,2.38475,1.2,3.5
tsmi_plus_krl,ndcg_at_k,0.07751979938247018,0.04212567538988199,0.11662892917161775
tsmi_plus_krl,f1_at_k,0.04774600000000002,0.026000000000000002,0.06800000000000002
te_plus_krl,auroc,0.7523969373331109,0.7368294058744994,0.7683756008010681
te_plus_krl,aupr,0.032489321474161184,0.030221661707941754,0.03486854444659777
te_plus_krl,hits_at_k,0.2988,0.1,0.6
te_plus_krl,ndcg_at_k,0.010654357782990181,0.0,0.021596800979722545
te_plus_krl,f1_at_k,0.006098000000000001,0.002,0.012
gc_plus_krl,auroc,0.77283640879506,0.7592601802403205,0.7872848464619492
gc_plus_krl,aupr,0.04423223018978844,0.03814598307858124,0.050715233954910025
gc_plus_krl,hits_at_k,1.9916500000000001,0.9,3.2
gc_plus_krl,ndcg_at_k,0.08038055459637819,0.03151577064142902,0.13157508866850923
gc_plus_krl,f1_at_k,0.04011500000000001,0.019999999999999997,0.06200000000000001
tsmi_te,auroc,0.8465791421061415,0.8302339285714285,0.8609401410213618
tsmi_te,aupr,0.0907034096047432,0.08006413270932362,0.10131170789351447
tsmi_te,hits_at_k,5.90325,4.9,7.0
tsmi_te,ndcg_at_k,0.22143238496995202,0.16992989716879833,0.2702326531525841
tsmi_te,f1_at_k,0.11796500000000003,0.098,0.13999999999999999
tsmi_te_plus_krl,auroc,0.8368495798564755,0.8192138810080107,0.8563884262349799
tsmi_te_plus_krl,aupr,0.06956956575920017,0.05980620851471863,0.08071176605651884
tsmi_te_plus_krl,hits_at_k,2.408,1.3,3.402499999999986
tsmi_te_plus_krl,ndcg_at_k,0.07965955938830004,0.038254216660540755,0.12168039048840965
tsmi_te_plus_krl,f1_at_k,0.04805200000000001,0.026000000000000002,0.068
