src,score
100,72.55429531434625
106,55.28756821410814
108,47.55669594687149
113,43.63104186412985
110,41.11605064020519
105,39.10847894874414
121,36.84461036253831
104,29.22233065716992
114,22.48097165069885
102,21.46121231060594
111,20.97676859103172
107,14.43068524587995
103,10.004963979122966
101,-0.05848020038904911
118,-5.058074718116718
109,-5.565300122412051
112,-6.326221565072497
129,-20.50162919807494
125,-21.209088087355536
115,-24.28489044508402
116,-25.08710310043817
119,-27.340624392324372
122,-28.39113973079871
127,-32.211818184912076
126,-32.61292792265309
117,-37.39957680424054
123,-43.88868972754727
120,-44.9861044798687
124,-47.67885893299364
128,-52.0751461131718
