win_end,leader,label
200,111,TSMI
300,112,TSMI
400,104,TSMI
500,100,TSMI
501,127,TSMI
200,100,TE
300,100,TE
400,100,TE
500,100,TE
501,100,TE
200,114,GC
300,114,GC
400,114,GC
500,111,GC
501,111,GC
200,100,KRL-Flow
300,112,KRL-Flow
400,111,KRL-Flow
500,111,KRL-Flow
501,122,KRL-Flow
200,114,TSMI+KRL
300,112,TSMI+KRL
400,111,TSMI+KRL
500,111,TSMI+KRL
501,113,TSMI+KRL
200,100,TE+KRL
300,104,TE+KRL
400,111,TE+KRL
500,113,TE+KRL
501,113,TE+KRL
200,114,GC+KRL
300,112,GC+KRL
400,111,GC+KRL
500,111,GC+KRL
501,113,GC+KRL
